algorithm,inputType,n,depth,comparisons,recursiveCalls,timeNs
MergeSort,random,100,4,520,-1,43700
QuickSort,random,100,9,625,-1,53700
Select,random,100,-1,502,27,52800
MergeSort,sorted,100,4,204,-1,24300
QuickSort,sorted,100,7,474,-1,32700
Select,sorted,100,-1,321,28,37900
MergeSort,reverse,100,4,460,-1,32500
QuickSort,reverse,100,7,559,-1,26600
Select,reverse,100,-1,591,22,39900
MergeSort,duplicate,100,4,482,-1,33800
QuickSort,duplicate,100,7,462,-1,27200
Select,duplicate,100,-1,464,24,37500
MergeSort,random,1000,7,8485,-1,427500
QuickSort,random,1000,17,10661,-1,494000
Select,random,1000,-1,5962,102,339700
MergeSort,sorted,1000,7,3532,-1,75500
QuickSort,sorted,1000,18,10795,-1,151100
Select,sorted,1000,-1,4177,101,140400
MergeSort,reverse,1000,7,6884,-1,65300
QuickSort,reverse,1000,16,10821,-1,86200
Select,reverse,1000,-1,6597,101,129800
MergeSort,duplicate,1000,7,8111,-1,81000
QuickSort,duplicate,1000,108,53454,-1,261100
Select,duplicate,1000,-1,30245,2892,608300
MergeSort,random,10000,10,120086,-1,1239400
QuickSort,random,10000,28,148397,-1,1201300
Select,random,10000,-1,62520,460,612900
MergeSort,sorted,10000,10,50272,-1,644600
QuickSort,sorted,10000,25,135455,-1,747100
Select,sorted,10000,-1,44704,488,450800
MergeSort,reverse,10000,10,93648,-1,720900
QuickSort,reverse,10000,27,161184,-1,886300
Select,reverse,10000,-1,68420,397,1753300
MergeSort,duplicate,10000,10,114223,-1,899000
QuickSort,duplicate,10000,1038,5034479,-1,5178500
Select,duplicate,10000,-1,3357816,345592,31141900
MergeSort,random,100000,14,1498529,-1,91402800
QuickSort,random,100000,37,1961834,-1,7293600
Select,random,100000,-1,642143,2043,3622100
MergeSort,sorted,100000,14,703056,-1,3112800
QuickSort,sorted,100000,31,1774205,-1,1813800
Select,sorted,100000,-1,459494,2114,1699600
MergeSort,reverse,100000,14,952880,-1,4355700
QuickSort,reverse,100000,34,2037858,-1,3220400
Select,reverse,100000,-1,695703,1449,1863800
MergeSort,duplicate,100000,14,1430836,-1,5711300
QuickSort,duplicate,100000,10105,500378930,-1,307551600
Select,duplicate,100000,-1,10598945033,1190216983,23290726400
ClosestPair,random,100,6,123,71,2408200
ClosestPair,random,1000,9,1120,975,2021400
ClosestPair,random,10000,12,12894,8191,8889500
ClosestPair,random,100000,16,142348,68927,92226200
